Problem,Worker ID,Age,Gender,Strong hand,Education,Answer,Confidence,Subjective Difficulty,Objective Difficutly,Psolve,1,2,3,4,8,10,16,60,Class
MagicPotion,18,17,Male,Right,High School/GED,8,5,4,6,0.4,0.05,0,0,0.1,0.25,0.1,0.3,0.2,Non-Solver
MagicPotion,17,29,Male,Right,College,3,6,9,10,0.2,0,0.1,0.2,0.35,0.35,0,0,0,Solver
MagicPotion,16,22,Female,Right,College,8,3,5,5,0.6,0.15,0,0.05,0.1,0.6,0.05,0.05,0,Non-Solver
MagicPotion,15,25,Male,Right,Graduate Degree,8,1,7,7,0.1,0.05,0.05,0.05,0.05,0.45,0.05,0.05,0.25,Non-Solver
MagicPotion,14,26,Male,Right,College,3,5,7,6,0.4,0.05,0.05,0.4,0.25,0.25,0,0,0,Solver
MagicPotion,13,27,Male,Right,Graduate Degree,3,10,7,10,0.2,0,0.05,0.2,0.4,0.35,0,0,0,Solver
MagicPotion,12,25,Female,Right,Graduate Degree,4,1,10,10,0.1,0,0.1,0.15,0.35,0.4,0,0,0,Non-Solver
MagicPotion,11,28,Male,Right,Graduate Degree,8,10,1,2,1,0,0,0,0,1,0,0,0,Non-Solver
MagicPotion,10,29,Male,Right,High School/GED,8,3,6,7,0.3,0.1,0.1,0.1,0.1,0.3,0.1,0.1,0.1,Non-Solver
MagicPotion,9,36,Male,Right,Graduate Degree,4,1,10,10,0.2,0.2,0.2,0.2,0.2,0.2,0,0,0,Non-Solver
MagicPotion,8,26,Female,Right,College,8,1,6,6,0.2,0,0,0,0,0.35,0.15,0.2,0.3,Non-Solver
MagicPotion,7,35,Female,Left,Graduate Degree,8,6,3,4,0.7,0.2,0,0,0.1,0.7,0,0,0,Non-Solver
MagicPotion,6,60,Male,Right,Graduate Degree,3,10,3,6,0.5,0,0,0.5,0.3,0.2,0,0,0,Solver
MagicPotion,5,39,Female,Right,Graduate Degree,4,10,7,6,0.5,0,0,0.15,0.5,0.3,0.05,0,0,Non-Solver
MagicPotion,4,62,Female,Right,Graduate Degree,8,10,2,2,0.8,0,0,0,0,0.8,0.2,0,0,Non-Solver
MagicPotion,3,29,Female,Right,Graduate Degree,4,4,8,6,0.4,0.25,0.05,0.05,0.05,0.5,0.05,0.05,0,Non-Solver
MagicPotion,2,28,Female,Right,Graduate Degree,8,8,5,2,0.5,0.2,0.1,0,0,0.5,0,0.2,0,Non-Solver
MagicPotion,1,33,Male,Right,Graduate Degree,8,4,7,5,0.2,0.05,0.05,0.05,0.2,0.4,0.05,0.2,0,Non-Solver
MagicPotion,A2WHC086WNUQNB,53,Female,Right,College,8,5,4,5,0.7,0,0.1,0.1,0.1,0.5,0.1,0.1,0,Non-Solver
MagicPotion,AMZV70TID53WY,26,Male,Right,College,8,10,1,2,0.9,0,0,0,0,0.9,0.1,0,0,Non-Solver
MagicPotion,A147F5PJTHOB8A,42,Male,Right,High School/GED,10,3,9,10,0.1,0.2,0.2,0.05,0.05,0.1,0.3,0.05,0.05,Non-Solver
MagicPotion,A1NZFJHVJ9CNTO,29,Male,Right,High School/GED,8,9,1,1,0.9,0,0,0,0,1,0,0,0,Non-Solver
MagicPotion,AO46MWFKLP3ZN,30,Male,Right,Graduate Degree,1,10,1,5,0.5,0.5,0.1,0,0.05,0.1,0.05,0.1,0.1,Non-Solver
MagicPotion,A39YK8LJ8O37OY,33,Female,Right,Graduate Degree,1,2,1,1,0.2,0.05,0.05,0.05,0.05,0.1,0.2,0.35,0.15,Non-Solver
MagicPotion,AKF2CET7H6C5X,32,Male,Right,Graduate Degree,4,1,6,5,0.7,0.15,0.15,0.1,0.1,0.1,0.1,0.15,0.15,Non-Solver
MagicPotion,A53WVYONK6B9Q,26,Male,Right,High School/GED,8,5,4,6,0.1,0.1,0.1,0.1,0.15,0.15,0.15,0.1,0.15,Non-Solver
MagicPotion,AMELYCC59JKB0,37,Female,Right,College,8,8,5,5,0.5,0.2,0.25,0.15,0.05,0.35,0,0,0,Non-Solver
MagicPotion,A8FCVU1TTDVL0,40,Female,Right,College,8,10,3,3,0.8,0,0,0,0,0.95,0.05,0,0,Non-Solver
MagicPotion,A198MSVO1VTAT5,60,Female,Right,College,8,10,1,1,0.7,0.2,0.1,0.1,0.1,0.5,0,0,0,Non-Solver
MagicPotion,A2QUQ0S2F6K3QJ,63,Female,Right,High School/GED,8,4,3,6,0.3,0.2,0.05,0.1,0.15,0.35,0.1,0.05,0,Non-Solver
MagicPotion,A2EI9E6EBZEZO1,38,Female,Right,College,8,5,5,5,0.55,0,0.1,0.1,0.1,0.5,0.1,0,0.1,Non-Solver
MagicPotion,APS21FRK7TBKW,47,Female,Right,College,8,5,4,5,0.25,0.15,0.15,0.15,0.15,0.15,0.15,0.05,0.05,Non-Solver
MagicPotion,A2IQ0QCTQ3KWLT,48,Female,Right,High School/GED,8,6,3,5,0.7,0.1,0.1,0.1,0.2,0.5,0,0,0,Non-Solver
MagicPotion,A2MWAXV1YRK5GH,69,Female,Left,Graduate Degree,4,1,10,10,0.5,0,0,0,0.65,0.35,0,0,0,Non-Solver
MagicPotion,A3HOBJ4PJUOCUN,59,Female,Right,High School/GED,1,7,3,4,0.85,0.65,0.05,0.05,0.25,0,0,0,0,Non-Solver
MagicPotion,A1DS0M9DLHAISJ,38,Female,Right,College,8,10,1,1,0.75,0,0,0,0,0.8,0.2,0,0,Non-Solver
MagicPotion,AAASQIW3J32OL,58,Female,Right,College,1,8,2,4,0.6,0.6,0,0,0.05,0.35,0,0,0,Non-Solver
MagicPotion,yijmma,33,Male,Right,College,8,5,3,2,0.5,0.05,0.15,0.15,0.3,0.25,0,0.05,0.05,Non-Solver
MagicPotion,A1M7G9KKXWH76A,48,Male,Right,College,1,1,5,3,0.6,0.1,0.15,0.1,0.2,0.4,0.05,0,0,Non-Solver
MagicPotion,A2APG8MSLJ6G2K,69,Female,Right,College,8,5,4,4,0.75,0,0,0,0.05,0.9,0,0.05,0,Non-Solver
MagicPotion,AB2GND2ZHOCOT,29,Female,Right,Graduate Degree,8,6,4,4,0.8,0.25,0,0,0,0.75,0,0,0,Non-Solver
MagicPotion,A3PDTUA1YLJTMC,43,Male,Right,College,1,8,6,5,0.95,0.45,0,0,0.1,0.45,0,0,0,Non-Solver
MagicPotion,A2O2Y99RA9GFUJ,64,Male,Right,College,8,5,6,7,0.5,0.1,0.1,0.05,0.25,0.5,0,0,0,Non-Solver
MagicPotion,AFM65NU0UXIGP,31,Male,Right,High School/GED,1,3,9,9,0.35,0.4,0,0.1,0.1,0.4,0,0,0,Non-Solver
MagicPotion,A1TLNLB9D87H6,35,Female,Left,College,8,1,10,10,0.05,0.1,0.1,0.1,0.1,0.25,0.1,0.1,0.15,Non-Solver
MagicPotion,200600666,31,Male,Left,Graduate Degree,1,5,5,7,0.3,0.45,0.1,0.1,0.1,0.1,0.1,0.05,0,Non-Solver
MagicPotion,A2EEP8D4MRUIRZ,30,Male,Right,High School/GED,8,10,1,1,0.95,0,0,0,0,1,0,0,0,Non-Solver
MagicPotion,A3DHAM13WLSE9V,23,Male,Right,High School/GED,8,1,5,5,0.15,0.05,0.05,0.25,0.25,0.4,0,0,0,Non-Solver
MagicPotion,A1SIUJEL2LS8UO,31,Male,Right,College,8,4,6,7,0.25,0,0.15,0.15,0.15,0.4,0.1,0.05,0,Non-Solver
MagicPotion,AG9LWKO86TNHG,48,Female,Left,College,60,1,7,10,0.25,0.05,0.15,0.15,0.25,0.1,0.1,0.05,0.15,Non-Solver
MagicPotion,AHYTT3T8W9Y9Y,37,Female,Right,College,8,5,4,2,0.85,0.25,0,0,0,0.7,0,0.05,0,Non-Solver
MagicPotion,A1ZT30BGR3266K,35,Female,Right,College,1,4,4,6,0.3,0.3,0.1,0.1,0.1,0.4,0,0,0,Non-Solver
MagicPotion,A1NKBXOTZAI1YK,33,Male,Right,College,8,10,1,4,0.35,0.05,0.15,0.1,0.25,0.45,0,0,0,Non-Solver
MagicPotion,A2TTBCUOTC4Y24,32,Male,Right,Graduate Degree,4,5,4,4,0.2,0.2,0.05,0.15,0.05,0.2,0.15,0.1,0.1,Non-Solver
MagicPotion,A10249252O9I20MRSOBVF,56,Female,Both hands are equally strong,High School/GED,1,10,3,3,0.9,0.75,0,0,0,0.25,0,0,0,Non-Solver
MagicPotion,A1UNBT94I82S8V,25,Male,Left,College,3,1,8,6,0.3,0.1,0.15,0.1,0.25,0.2,0.1,0.1,0,Solver
MagicPotion,A1V2H0UF94ATWY,59,Male,Right,High School/GED,8,6,5,5,0.7,0.05,0,0,0.15,0.75,0,0,0.05,Non-Solver
MagicPotion,A16HSMUJ7C7QA7,65,Female,Left,High School/GED,8,3,6,6,0.6,0,0,0,0.1,0.8,0,0.1,0,Non-Solver
MagicPotion,A30RAYNDOWQ61S,57,Male,Right,High School/GED,8,1,10,8,0.4,0.05,0.05,0.05,0.05,0.55,0.05,0.1,0.1,Non-Solver
MagicPotion,AVJUIF9QHQRY8,35,Female,Right,College,8,5,2,3,0.7,0.05,0.05,0.05,0.15,0.65,0.05,0,0,Non-Solver
MagicPotion,A3U21PUMQ6NGT2,38,Female,Right,College,1,6,1,3,0.75,0.3,0.15,0.05,0.1,0.15,0.15,0.1,0,Non-Solver
MagicPotion,A3J85WP15JFYW0,31,Male,Right,College,1,10,2,5,0.5,0.5,0,0,0,0.5,0,0,0,Non-Solver
MagicPotion,A2DWPP1KKAY0HG,24,Male,Right,College,1,10,2,4,0.7,0.7,0,0,0,0.15,0,0.15,0,Non-Solver
MagicPotion,A2ZLII4MLBHWR4,27,Male,Right,Graduate Degree,1,8,3,1,0.5,1,0,0,0,0,0,0,0,Non-Solver
MagicPotion,1532532,22,Male,Right,Graduate Degree,4,7,6,8,0.4,0.05,0.1,0.1,0.4,0.35,0,0,0,Non-Solver
MagicPotion,A18TCR555RWUZV,34,Male,Right,College,1,9,4,7,0.35,0.25,0.15,0.1,0.25,0.25,0,0,0,Non-Solver
MagicPotion,A1JVWOBGNA6KJT,54,Male,Right,High School/GED,1,9,4,3,0.6,0.6,0.05,0.05,0.05,0.25,0,0,0,Non-Solver
MagicPotion,A1O5IL3N3G3WIL,45,Female,Right,College,8,5,5,5,0.65,0.2,0.2,0.15,0.1,0.15,0.05,0.05,0.05,Non-Solver
MagicPotion,A1ROEDVMTO9Y3X,50,Female,Left,College,8,8,8,3,0.4,0.1,0.1,0.1,0.1,0.1,0.05,0.05,0,Non-Solver
MagicPotion,A1RV2LERVS0A4H,33,Female,Right,College,8,6,3,3,0.6,0,0,0,0.35,0.6,0.05,0,0,Non-Solver
MagicPotion,A1WVNDH62P2UNZ,26,Female,Right,High School/GED,8,7,3,2,1,0,0,0,0,0.75,0.1,0.05,0.1,Non-Solver
MagicPotion,A21SF3IKIZB0VN,73,Female,Left,Graduate Degree,8,9,1,1,1,0,0,0,0,1,0,0,0,Non-Solver
MagicPotion,A23BWWRR7J5XLS,42,Male,Right,High School/GED,8,8,5,6,0.65,0.1,0,0,0,0.9,0,0,0,Non-Solver
MagicPotion,A23KAJRDVCVGOE,41,Male,Left,High School/GED,10,2,9,9,0.1,0.05,0.05,0.05,0.05,0.25,0.45,0.1,0,Non-Solver
MagicPotion,A2541C8MY0BYV3,29,Male,Right,College,10,2,10,10,0.05,0.15,0.1,0.2,0.05,0.15,0.25,0.05,0.05,Non-Solver
MagicPotion,A270HX8LH9LJ8W,38,Male,Right,Graduate Degree,8,6,5,5,0.5,0.05,0.1,0.1,0.15,0.5,0.05,0.05,0,Non-Solver
MagicPotion,A2B2HQHFBYLTXU,36,Male,Right,Graduate Degree,1,4,6,6,0.25,0.35,0.15,0.1,0.1,0.15,0.05,0.05,0.05,Non-Solver
MagicPotion,A2GNG7DWHQA6ZZ,34,Male,Right,Graduate Degree,8,9,2,3,0.85,0,0,0,0.15,0.85,0,0,0,Non-Solver
MagicPotion,A2VLTSW6CXIUMR,44,Male,Right,High School/GED,8,7,3,4,0.75,0,0,0,0.1,0.8,0.05,0.05,0,Non-Solver
MagicPotion,A2YCMT5BPA0AG9,50,Male,Right,College,1,6,6,5,0.3,0.25,0.05,0.1,0.15,0.45,0,0,0,Non-Solver
MagicPotion,A2YWSSQEXXCRGK,51,Female,Right,Graduate Degree,8,8,3,3,0.75,0.1,0.05,0,0.1,0.75,0,0,0,Non-Solver
MagicPotion,A3ADVMXAYYYPD2,42,Male,Right,Graduate Degree,16,10,1,1,0.65,0,0,0,0,0.45,0.05,0.5,0,Non-Solver
MagicPotion,A3C8NUIBNZYMT2,30,Male,Right,College,1,6,3,7,0.7,0.5,0.1,0.05,0.05,0.05,0.05,0.1,0.1,Non-Solver
MagicPotion,A3LLOANE52R4LT,35,Male,Right,College,8,9,5,5,0.65,0.1,0.15,0.1,0.1,0.45,0.1,0,0,Non-Solver
MagicPotion,A3QLGMZOLGMBQ1,51,Male,Right,Graduate Degree,1,8,3,3,0.75,0.9,0.05,0,0,0,0,0,0.05,Non-Solver
MagicPotion,A3R5OJR60C6004,45,Male,Right,College,8,8,4,4,0.6,0,0.05,0.15,0.15,0.6,0.05,0,0,Non-Solver
MagicPotion,A3S1DILZ70PXC,41,Female,Right,College,1,8,5,3,0.6,0.6,0,0,0,0.4,0,0,0,Non-Solver
MagicPotion,A3URLNXHLP4ARU,47,Female,Right,Graduate Degree,8,5,5,8,0.5,0.1,0.05,0.05,0.05,0.5,0,0.1,0.15,Non-Solver
MagicPotion,A4IH4CO046EV3,40,Male,Right,College,2,10,1,8,0.1,0,0.1,0.1,0.25,0.4,0.1,0.05,0,Non-Solver
MagicPotion,AAQREZOK13OV7,31,Male,Right,College,4,4,7,6,0.45,0,0.05,0.1,0.2,0.45,0.15,0.05,0,Non-Solver
MagicPotion,AFQ9W6WA8O9EH,51,Female,Left,Graduate Degree,1,10,1,5,0.5,0.5,0,0,0,0.5,0,0,0,Non-Solver
MagicPotion,AN9MVFWRCF2OP,29,Male,Right,College,8,9,2,4,0.9,0,0,0,0.1,0.75,0.15,0,0,Non-Solver
MagicPotion,AY2U544TCVPMQ,37,Male,Right,Graduate Degree,1,6,5,9,0.1,0.1,0.05,0.05,0.05,0.6,0.05,0.05,0.05,Non-Solver
MagicPotion,AYW62R027PUT1,44,Male,Right,College,8,9,2,3,0.6,0.2,0,0,0.1,0.6,0,0.1,0,Non-Solver
