Problem,Worker ID,Age,Gender,Strong hand,Education,Answer,Confidence,Subjective Difficulty,Objective Difficutly,Psolve,a1,a2,a3,a4,Class
Traveler,18,17,Male,Right,High School/GED,a4,8,2,3,0.75,0.3,0.25,0.1,0.35,Non-Solver
Traveler,17,29,Male,Right,College,a4,8,3,5,0.6,0.15,0.25,0.05,0.55,Non-Solver
Traveler,16,22,Female,Right,College,a1,5,6,6,0.35,0.5,0.1,0.3,0.1,Non-Solver
Traveler,15,25,Male,Right,Graduate Degree,a2,10,1,7,0.25,0.3,0.25,0.2,0.25,Solver
Traveler,14,26,Male,Right,College,a2,8,6,3,0.65,0.1,0.6,0,0.3,Solver
Traveler,13,27,Male,Right,Graduate Degree,a4,10,7,9,0.3,0.05,0.4,0.25,0.3,Non-Solver
Traveler,12,25,Female,Right,Graduate Degree,a4,6,6,8,0.45,0.1,0.3,0.15,0.45,Non-Solver
Traveler,11,28,Male,Right,Graduate Degree,a4,10,1,4,0.9,0.05,0.05,0,0.9,Non-Solver
Traveler,10,29,Male,Right,High School/GED,a4,6,3,5,0.5,0.1,0.3,0.1,0.5,Non-Solver
Traveler,9,36,Male,Right,Graduate Degree,a4,10,6,9,0.5,0.25,0.25,0.2,0.3,Non-Solver
Traveler,8,26,Female,Right,College,a2,2,8,7,0.4,0.4,0.4,0.1,0.1,Solver
Traveler,7,35,Female,Left,Graduate Degree,a4,6,5,5,0.6,0.05,0.25,0.1,0.6,Non-Solver
Traveler,6,60,Male,Right,Graduate Degree,a2,10,2,5,0.75,0.05,0.75,0.05,0.15,Solver
Traveler,5,39,Female,Right,Graduate Degree,a4,1,10,8,0.1,0.05,0.6,0.05,0.3,Non-Solver
Traveler,4,62,Female,Right,Graduate Degree,a2,3,4,7,0.25,0.3,0.25,0.2,0.25,Solver
Traveler,3,29,Female,Right,Graduate Degree,a3,5,8,7,0.7,0,0.25,0.7,0.05,Non-Solver
Traveler,2,28,Female,Right,Graduate Degree,a2,8,6,2,0.5,0.2,0.4,0.2,0.2,Solver
Traveler,1,33,Male,Right,Graduate Degree,a2,9,7,9,0.4,0.05,0.4,0.1,0.45,Solver
Traveler,A2WHC086WNUQNB,53,Female,Right,College,a2,6,7,5,0.5,0.1,0.45,0.2,0.25,Solver
Traveler,AMZV70TID53WY,26,Male,Right,College,a1,6,3,7,0.5,0.55,0.15,0.1,0.2,Non-Solver
Traveler,A147F5PJTHOB8A,42,Male,Right,High School/GED,a2,1,8,8,0.1,0.3,0.25,0.1,0.35,Solver
Traveler,A1NZFJHVJ9CNTO,29,Male,Right,High School/GED,a3,9,5,5,0.5,0.05,0.05,0.5,0.4,Non-Solver
Traveler,AO46MWFKLP3ZN,30,Male,Right,Graduate Degree,a3,10,1,5,0.5,0.2,0.2,0.5,0.1,Non-Solver
Traveler,A39YK8LJ8O37OY,33,Female,Right,Graduate Degree,a1,8,1,1,0.3,0.35,0.3,0.05,0.3,Non-Solver
Traveler,AKF2CET7H6C5X,32,Male,Right,Graduate Degree,a1,5,5,6,0.3,0.3,0.25,0.1,0.35,Non-Solver
Traveler,A53WVYONK6B9Q,26,Male,Right,High School/GED,a2,3,4,6,0.4,0.4,0.35,0.2,0.05,Solver
Traveler,AMELYCC59JKB0,37,Female,Right,College,a2,3,6,8,0.4,0.25,0.35,0.25,0.15,Solver
Traveler,A8FCVU1TTDVL0,40,Female,Right,College,a2,3,6,6,0.3,0.5,0.25,0.15,0.1,Solver
Traveler,A198MSVO1VTAT5,60,Female,Right,College,a2,10,1,1,0.55,0.2,0.2,0.4,0.2,Solver
Traveler,A2QUQ0S2F6K3QJ,63,Female,Right,High School/GED,a2,5,5,6,0.55,0.05,0.45,0.35,0.15,Solver
Traveler,A2EI9E6EBZEZO1,38,Female,Right,College,a2,2,8,5,0.25,0.25,0.25,0.25,0.25,Solver
Traveler,APS21FRK7TBKW,47,Female,Right,College,a4,2,3,5,0.65,0.25,0.25,0.25,0.25,Non-Solver
Traveler,A2IQ0QCTQ3KWLT,48,Female,Right,High School/GED,a4,1,8,7,0.6,0.15,0.15,0.3,0.4,Non-Solver
Traveler,A2MWAXV1YRK5GH,69,Female,Left,Graduate Degree,a4,5,9,9,0.5,0,0.3,0,0.7,Non-Solver
Traveler,A3HOBJ4PJUOCUN,59,Female,Right,High School/GED,a2,2,6,5,0.4,0.05,0.6,0.1,0.25,Solver
Traveler,A1DS0M9DLHAISJ,38,Female,Right,College,a2,7,7,9,0.25,0.25,0.5,0.25,0,Solver
Traveler,AAASQIW3J32OL,58,Female,Right,College,a4,7,4,4,0.65,0.05,0.25,0.05,0.65,Non-Solver
Traveler,yijmma,33,Male,Right,College,a4,5,4,5,0.25,0.25,0.4,0.15,0.2,Non-Solver
Traveler,A1M7G9KKXWH76A,48,Male,Right,College,a4,1,5,3,0.5,0.5,0.1,0.1,0.3,Non-Solver
Traveler,A2APG8MSLJ6G2K,69,Female,Right,College,a3,2,8,5,0.5,0.25,0.25,0.25,0.25,Non-Solver
Traveler,AB2GND2ZHOCOT,29,Female,Right,Graduate Degree,a4,8,4,5,0.9,0,0.1,0,0.9,Non-Solver
Traveler,A3PDTUA1YLJTMC,43,Male,Right,College,a2,6,6,7,0.65,0,0.65,0.25,0.1,Solver
Traveler,A2O2Y99RA9GFUJ,64,Male,Right,College,a2,6,7,8,0.55,0.1,0.7,0.15,0.05,Solver
Traveler,AFM65NU0UXIGP,31,Male,Right,High School/GED,a4,9,3,5,0.75,0.1,0.1,0.05,0.75,Non-Solver
Traveler,A1TLNLB9D87H6,35,Female,Left,College,a2,1,10,10,0.15,0.25,0.25,0.25,0.25,Solver
Traveler,200600666,31,Male,Left,Graduate Degree,a2,1,6,1,0.8,0,0.2,0.2,0.6,Solver
Traveler,A2EEP8D4MRUIRZ,30,Male,Right,High School/GED,a2,3,6,6,0,0.05,0.35,0.05,0.55,Solver
Traveler,A3DHAM13WLSE9V,23,Male,Right,High School/GED,a2,1,5,5,0.2,0.35,0.5,0.05,0.1,Solver
Traveler,A1SIUJEL2LS8UO,31,Male,Right,College,a2,5,3,4,0.25,0.15,0.5,0.15,0.2,Solver
Traveler,AG9LWKO86TNHG,48,Female,Left,College,a4,1,6,5,0.25,0.5,0.35,0.1,0.05,Non-Solver
Traveler,AHYTT3T8W9Y9Y,37,Female,Right,College,a2,1,8,6,0.6,0.3,0.3,0.25,0.15,Solver
Traveler,A1ZT30BGR3266K,35,Female,Right,College,a2,3,8,8,0.15,0.1,0.45,0.25,0.2,Solver
Traveler,A1NKBXOTZAI1YK,33,Male,Right,College,a4,10,6,9,0.35,0.1,0.35,0.3,0.25,Non-Solver
Traveler,A2TTBCUOTC4Y24,32,Male,Right,Graduate Degree,a1,1,5,5,0.35,0.25,0.2,0.3,0.25,Non-Solver
Traveler,A10249252O9I20MRSOBVF,56,Female,Both hands are equally strong,High School/GED,a2,3,7,7,0.15,0.05,0.4,0.05,0.5,Solver
Traveler,A1UNBT94I82S8V,25,Male,Left,College,a2,6,6,4,0.6,0,0.5,0.15,0.35,Solver
Traveler,A1V2H0UF94ATWY,59,Male,Right,High School/GED,a4,5,7,7,0.3,0.1,0.3,0.25,0.35,Non-Solver
Traveler,A16HSMUJ7C7QA7,65,Female,Left,High School/GED,a3,4,4,4,0.65,0.05,0.15,0.65,0.15,Non-Solver
Traveler,A30RAYNDOWQ61S,57,Male,Right,High School/GED,a2,3,9,9,0.5,0.05,0.45,0.1,0.4,Solver
Traveler,AVJUIF9QHQRY8,35,Female,Right,College,a2,3,4,6,0.55,0.25,0.15,0.1,0.5,Solver
Traveler,A3U21PUMQ6NGT2,38,Female,Right,College,a1,4,6,6,0.35,0.25,0.35,0.1,0.3,Non-Solver
Traveler,A3J85WP15JFYW0,31,Male,Right,College,a3,1,8,8,0.2,0.15,0.15,0.5,0.2,Non-Solver
Traveler,A2DWPP1KKAY0HG,24,Male,Right,College,a2,5,6,6,0.6,0.1,0.4,0.1,0.4,Solver
Traveler,A2ZLII4MLBHWR4,27,Male,Right,Graduate Degree,a4,10,2,1,0.9,0,0.1,0.1,0.8,Non-Solver
Traveler,1532532,22,Male,Right,Graduate Degree,a2,9,4,6,0.6,0.15,0.6,0.1,0.15,Solver
Traveler,A18TCR555RWUZV,34,Male,Right,College,a4,10,1,5,0.5,0.2,0.15,0.1,0.55,Non-Solver
Traveler,A1JVWOBGNA6KJT,54,Male,Right,High School/GED,a1,7,3,6,0.3,0.3,0.15,0.2,0.35,Non-Solver
Traveler,A1O5IL3N3G3WIL,45,Female,Right,College,a2,1,6,2,0.6,0.2,0.45,0.35,0,Solver
Traveler,A1ROEDVMTO9Y3X,50,Female,Left,College,a4,8,8,8,0.45,0.5,0,0.25,0.25,Non-Solver
Traveler,A1RV2LERVS0A4H,33,Female,Right,College,a4,5,5,6,0.5,0,0.5,0,0.5,Non-Solver
Traveler,A1WVNDH62P2UNZ,26,Female,Right,High School/GED,a2,5,8,3,0.3,0.35,0.25,0.2,0.2,Solver
Traveler,A21SF3IKIZB0VN,73,Female,Left,Graduate Degree,a4,8,4,2,0.9,0.05,0.05,0.35,0.55,Non-Solver
Traveler,A23BWWRR7J5XLS,42,Male,Right,High School/GED,a4,8,7,7,0.65,0.05,0.25,0.05,0.65,Non-Solver
Traveler,A23KAJRDVCVGOE,41,Male,Left,High School/GED,a2,4,8,7,0.25,0.2,0.6,0.1,0.1,Solver
Traveler,A2541C8MY0BYV3,29,Male,Right,College,a3,3,9,10,0.1,0.1,0.35,0.45,0.1,Non-Solver
Traveler,A270HX8LH9LJ8W,38,Male,Right,Graduate Degree,a4,5,4,6,0.25,0.25,0.1,0.4,0.25,Non-Solver
Traveler,A2B2HQHFBYLTXU,36,Male,Right,Graduate Degree,a3,4,6,6,0.4,0.2,0.1,0.5,0.2,Non-Solver
Traveler,A2GNG7DWHQA6ZZ,34,Male,Right,Graduate Degree,a4,7,3,4,0.8,0.05,0.4,0.05,0.5,Non-Solver
Traveler,A2VLTSW6CXIUMR,44,Male,Right,High School/GED,a2,5,6,7,0.45,0.1,0.6,0.1,0.2,Solver
Traveler,A2YCMT5BPA0AG9,50,Male,Right,College,a3,7,6,3,0.6,0,0.15,0.6,0.25,Non-Solver
Traveler,A2YWSSQEXXCRGK,51,Female,Right,Graduate Degree,a4,6,5,5,0.7,0.05,0.1,0.15,0.7,Non-Solver
Traveler,A3ADVMXAYYYPD2,42,Male,Right,Graduate Degree,a1,9,4,4,0.65,0.65,0.1,0.2,0.05,Non-Solver
Traveler,A3C8NUIBNZYMT2,30,Male,Right,College,a4,5,8,6,0.4,0.55,0.2,0.15,0.1,Non-Solver
Traveler,A3LLOANE52R4LT,35,Male,Right,College,a4,7,7,7,0.55,0.25,0.1,0.3,0.35,Non-Solver
Traveler,A3QLGMZOLGMBQ1,51,Male,Right,Graduate Degree,a2,4,7,7,0.55,0.1,0.45,0.2,0.25,Solver
Traveler,A3R5OJR60C6004,45,Male,Right,College,a2,7,6,7,0.45,0.25,0.45,0.1,0.2,Solver
Traveler,A3S1DILZ70PXC,41,Female,Right,College,a2,5,7,6,0.25,0,0.5,0.2,0.3,Solver
Traveler,A3URLNXHLP4ARU,47,Female,Right,Graduate Degree,a4,8,3,5,0.6,0.05,0.25,0.1,0.6,Non-Solver
Traveler,A4IH4CO046EV3,40,Male,Right,College,a2,9,2,6,0.7,0.05,0.7,0.2,0.05,Solver
Traveler,AAQREZOK13OV7,31,Male,Right,College,a2,7,7,6,0.4,0.2,0.4,0.1,0.3,Solver
Traveler,AFQ9W6WA8O9EH,51,Female,Left,Graduate Degree,a4,8,5,9,0.3,0.5,0.3,0.1,0.1,Non-Solver
Traveler,AN9MVFWRCF2OP,29,Male,Right,College,a2,6,7,6,0.3,0.2,0.5,0.1,0.2,Solver
Traveler,AY2U544TCVPMQ,37,Male,Right,Graduate Degree,a3,5,2,8,0.2,0.2,0.45,0.2,0.15,Non-Solver
Traveler,AYW62R027PUT1,44,Male,Right,College,a4,5,6,6,0.25,0.2,0.3,0.35,0.15,Non-Solver
